,no,question1,question2,grade,lang,q1_tokens,q2_tokens
0,0,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,using semantic analysis methods use vector space model,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['using', 'semantic', 'analysis', 'methods', 'use', 'vector', 'space', 'model']"
1,1,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use vector space model firstly binary mark every word number calculate term frequenties tf multiply,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'vector', 'space', 'model', 'firstly', 'binary', 'mark', 'every', 'word', 'number', 'calculate', 'term', 'frequenties', 'tf', 'multiply']"
2,2,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,assume question like sky blue calculate two words sky blue numbers corpus check passing together sentence compare sentences similarity question sort answers importance showing user,50,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['assume', 'question', 'like', 'sky', 'blue', 'calculate', 'two', 'words', 'sky', 'blue', 'numbers', 'corpus', 'check', 'passing', 'together', 'sentence', 'compare', 'sentences', 'similarity', 'question', 'sort', 'answers', 'importance', 'showing', 'user']"
3,3,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,use vector space model representation words vectors method slow large corpus represent words vector space cosine similarity measuring similarity non-zero vectors find semantically relavant cosine similarity angle sentences close 0ø similarity increases otherwise decreases,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['use', 'vector', 'space', 'model', 'representation', 'words', 'vectors', 'method', 'slow', 'large', 'corpus', 'represent', 'words', 'vector', 'space', 'cosine', 'similarity', 'measuring', 'similarity', 'non-zero', 'vectors', 'find', 'semantically', 'relavant', 'cosine', 'similarity', 'angle', 'sentences', 'close', '0ø', 'similarity', 'increases', 'otherwise', 'decreases']"
4,4,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,corpus use sentence segmenting seperate sentence sentence let us say every word pos tagging help find answer quickly end tagging vector space modeling reach relevant text corpus check highest cos value 01 get nearest answer,50,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['corpus', 'use', 'sentence', 'segmenting', 'seperate', 'sentence', 'sentence', 'let', 'us', 'say', 'every', 'word', 'pos', 'tagging', 'help', 'find', 'answer', 'quickly', 'end', 'tagging', 'vector', 'space', 'modeling', 'reach', 'relevant', 'text', 'corpus', 'check', 'highest', 'cos', 'value', '01', 'get', 'nearest', 'answer']"
5,5,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,example live first step- get rid stop func word second step- using lemma instead word third step- convert string number calculated vectore space model last step-call similarity function,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['example', 'live', 'first', 'step-', 'get', 'rid', 'stop', 'func', 'word', 'second', 'step-', 'using', 'lemma', 'instead', 'word', 'third', 'step-', 'convert', 'string', 'number', 'calculated', 'vectore', 'space', 'model', 'last', 'step-call', 'similarity', 'function']"
6,6,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,choose keywords question sentence using vector space compare texts try make vector texts easy large corpus,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['choose', 'keywords', 'question', 'sentence', 'using', 'vector', 'space', 'compare', 'texts', 'try', 'make', 'vector', 'texts', 'easy', 'large', 'corpus']"
7,8,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,take words key short question sentencethen do not search corpus want semantically lexically look meaning words dictionaryand keep one two meaning informationafter decide concat key themin corpus partially search meaning relevant textsearching corpus words meaning,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['take', 'words', 'key', 'short', 'question', 'sentencethen', 'do', 'not', 'search', 'corpus', 'want', 'semantically', 'lexically', 'look', 'meaning', 'words', 'dictionaryand', 'keep', 'one', 'two', 'meaning', 'informationafter', 'decide', 'concat', 'key', 'themin', 'corpus', 'partially', 'search', 'meaning', 'relevant', 'textsearching', 'corpus', 'words', 'meaning']"
8,9,question knowledge-based following assume question query large text firstly would segment texts shorter passages like paragraphs would build semantic representations query locations dates times entities numeric formsquantities last order determine semantic relation question passages would map semantic representations query passages using wordnet like lexical databases way find relevant text,assume corpus wordnet word questiona nodethen calculate distance word,50,en,"['question', 'knowledge-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'firstly', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'would', 'build', 'semantic', 'representations', 'query', 'locations', 'dates', 'times', 'entities', 'numeric', 'formsquantities', 'last', 'order', 'determine', 'semantic', 'relation', 'question', 'passages', 'would', 'map', 'semantic', 'representations', 'query', 'passages', 'using', 'wordnet', 'like', 'lexical', 'databases', 'way', 'find', 'relevant', 'text']","['assume', 'corpus', 'wordnet', 'word', 'questiona', 'nodethen', 'calculate', 'distance', 'word']"
9,10,question ir-based following assume question query large text would segment texts shorter passages like paragraphs need find relevant texts corpus find relatedness would apply one methods tf-idf similarity jaccard index word embeddings etc query passages last need rank relevant passages find related sort passages according - number named entities right type passage - number question words keywords passage - keyword proximity question passage - number question n-grams also passage - number sequences question words occurring passages etc way find relevant text,find text help tf-idf vector space modelfor large data sets vector space model useful,25,en,"['question', 'ir-based', 'following', 'assume', 'question', 'query', 'large', 'text', 'would', 'segment', 'texts', 'shorter', 'passages', 'like', 'paragraphs', 'need', 'find', 'relevant', 'texts', 'corpus', 'find', 'relatedness', 'would', 'apply', 'one', 'methods', 'tf-idf', 'similarity', 'jaccard', 'index', 'word', 'embeddings', 'etc', 'query', 'passages', 'last', 'need', 'rank', 'relevant', 'passages', 'find', 'related', 'sort', 'passages', 'according', '-', 'number', 'named', 'entities', 'right', 'type', 'passage', '-', 'number', 'question', 'words', 'keywords', 'passage', '-', 'keyword', 'proximity', 'question', 'passage', '-', 'number', 'question', 'n-grams', 'also', 'passage', '-', 'number', 'sequences', 'question', 'words', 'occurring', 'passages', 'etc', 'way', 'find', 'relevant', 'text']","['find', 'text', 'help', 'tf-idf', 'vector', 'space', 'modelfor', 'large', 'data', 'sets', 'vector', 'space', 'model', 'useful']"
